staircase.thisTrialN,staircase.stepSize,staircase.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
32,0.5,7.5,378.1489719999954,378.64935269998387,378.64935269998387,378.64935269998387,378.9498804999748,right,7.5,0,0,0.3440427000168711,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
33,0.5,8.0,379.0160523999948,379.49934790004045,379.49934790004045,379.49934790004045,379.80052519997116,right,8.0,1,1,0.4061900000087917,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
34,0.5,8.0,379.9324877000181,380.4329901000019,380.4329901000019,380.4329901000019,380.73219300003257,left,-8.0,0,0,7.704666400095448,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
35,0.5,8.5,388.1661242999835,388.66629700001795,388.66629700001795,388.66629700001795,388.96555039996747,right,8.5,0,0,0.5662163000088185,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
36,0.5,9.0,389.2494530000258,389.74967229994945,389.74967229994945,389.74967229994945,390.0500984999817,right,9.0,0,0,0.5130328999366611,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
37,0.5,9.5,390.283668100019,390.78243789996486,390.78243789996486,390.78243789996486,391.08243519999087,right,9.5,0,0,0.5254478000570089,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
38,0.5,10.0,391.3323594999965,391.832621700014,391.832621700014,391.832621700014,392.13242299994454,left,-10.0,1,1,0.746607800014317,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
39,0.5,10.0,392.59913939994294,393.0992339999648,393.0992339999648,393.0992339999648,393.3991586000193,right,10.0,1,1,1.2741146999178454,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
40,0.5,10.0,394.3995065999916,394.90008339995984,394.90008339995984,394.90008339995984,395.1996919999365,left,-10.0,1,1,0.8384197000414133,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
41,0.5,9.5,395.76646630000323,396.26558040000964,396.26558040000964,396.26558040000964,396.5655495999381,left,-9.5,1,1,0.48501659999601543,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
42,0.5,9.5,396.78244340000674,397.28269849997014,397.28269849997014,397.28269849997014,397.5827890000073,left,-9.5,1,1,0.6382516999728978,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
43,0.5,9.5,397.94926439994015,398.4495192000177,398.4495192000177,398.4495192000177,398.74950619996525,right,9.5,1,1,0.6111634999979287,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
44,0.5,9.0,399.0824853000231,399.5823734999867,399.5823734999867,399.5823734999867,399.88193220004905,right,9.0,1,1,0.5165061999578029,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
45,0.5,9.0,400.11571619997267,400.61615170002915,400.61615170002915,400.61615170002915,400.9156905999407,right,9.0,1,1,0.6231923999730498,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
46,0.5,9.0,401.2658676999854,401.74921179993544,401.74921179993544,401.74921179993544,402.0492088999599,right,9.0,1,1,3.8003370999358594,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
47,0.5,8.5,405.5665105000371,406.0491091000149,406.0491091000149,406.0491091000149,406.34898589993827,left,-8.5,1,1,0.5987473999848589,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
48,0.5,8.5,406.66571099997964,407.16574179998133,407.16574179998133,407.16574179998133,407.46545809996314,left,-8.5,0,0,8.447088100016117,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
49,0.5,9.0,415.63240570004564,416.13265249994583,416.13265249994583,416.13265249994583,416.4327483000234,left,-9.0,0,0,83.32921210001223,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
