trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
33,0,33,0,5,169.12816130000283,169.12816130000283,0.023898100000224076,[-0.16574074074074074],[-0.3055555555555556],[1],[0],[0],[1.3728985999987344],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
34,0,34,0,10,170.55974920000153,170.55974920000153,0.04567059999681078,[0.22870370370370371],[-0.13796296296296295],[1],[0],[0],[1.3719591999979457],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
35,0,35,0,10,172.0012080000015,172.0012080000015,0.05892360000143526,[0.3194444444444444],[0.44351851851851853],[1],[0],[0],[2.9614027999996324],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
36,0,36,0,5,174.98923720000312,174.98923720000312,0.023717500000202563,[-0.18333333333333332],[0.06759259259259259],[1],[0],[0],[1.376592000000528],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
37,0,37,0,10,176.42709870000544,176.42709870000544,0.04805599999963306,[-0.41944444444444445],[-0.010185185185185186],[1],[0],[0],[2.9152518000046257],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
38,0,38,0,10,179.3908764000007,179.3908764000007,0.04363050000392832,[0.33796296296296297],[0.33055555555555555],[1],[0],[0],[1.5139667999974336],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
39,0,39,0,5,180.9444008000064,180.9444008000064,0.029741999998805113,[0.10833333333333334],[0.27870370370370373],[1],[0],[0],[2.615942800002813],[],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
40,0,40,0,5,183.58077920000505,183.58077920000505,0.02625119999720482,[0.03518518518518519],[-0.3333333333333333],[1],[0],[0],[2.617980399998487],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
41,0,41,0,10,186.2602853999997,186.2602853999997,0.04836820000491571,[0.3712962962962963],[0.1824074074074074],[1],[0],[0],[2.250453800006653],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
42,0,42,0,10,188.55956460000016,188.55956460000016,0.045899199998530094,[0.1527777777777778],[-0.05185185185185185],[1],[0],[0],[1.2120733999981894],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
43,0,43,0,10,189.81955550000566,189.81955550000566,0.04355829999985872,[0.009259259259259259],[-0.40185185185185185],[1],[0],[0],[0.9194833000001381],[],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
44,0,44,0,5,190.75919240000076,190.75919240000076,0.022865600003569853,[-0.32407407407407407],[0.33611111111111114],[1],[0],[0],[1.3561874000006355],[],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
45,0,45,0,5,192.15205460000288,192.15205460000288,0.029226100006781053,[-0.40925925925925927],[-0.26851851851851855],[1],[0],[0],[1.5812501999971573],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
46,0,46,0,10,193.79104910000024,193.79104910000024,0.046617499996500555,[0.44537037037037036],[-0.07037037037037037],[1],[0],[0],[1.3981075000046985],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
47,0,47,0,10,195.23659710000356,195.23659710000356,0.04378810000343947,[-0.49074074074074076],[0.11203703703703703],[1],[0],[0],[1.1021452999993926],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
48,0,48,0,10,196.38772240000253,196.38772240000253,0.04492519999621436,[-0.4861111111111111],[0.20555555555555555],[1],[0],[0],[0.9507717000014964],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
